ISO,Year,Value
ALB,1970,3.2878570073845
ALB,1971,3.2236813138143
ALB,1972,3.2542527480589105
ALB,1973,3.3979125647562904
ALB,1974,3.34519509498846
ALB,1975,3.64120402054633
ALB,1976,3.7430374959297503
ALB,1977,3.76588226719926
ALB,1978,3.8876525166577593
ALB,1979,3.75973604628603
ALB,1980,4.01932330768673
ALB,1981,3.93221709635613
ALB,1982,3.58072485539056
ALB,1983,3.67898146669167
ALB,1984,3.79006632969948
ALB,1985,3.68625873127799
ALB,1986,3.68978514409088
ALB,1987,3.75191756337392
ALB,1988,3.69464795357554
ALB,1989,3.45149334477369
ALB,1990,4.061540903452
ALB,1991,3.8793783416640495
ALB,1992,2.60435915775363
ALB,1993,2.37407466417334
ALB,1994,2.2870309358384
ALB,1995,2.04873797464536
ALB,1996,2.4889713563691203
ALB,1997,2.648960926693
ALB,1998,2.69714698202226
ALB,1999,2.74376943118303
ALB,2000,3.08243515663941
ALB,2001,3.1592780322625296
ALB,2002,3.01270623239269
ALB,2003,3.2746580775597995
ALB,2004,4.01151469356052
ALB,2005,3.45806341555244
ALB,2006,3.14242894448632
ALB,2007,2.51096742543269
ALB,2008,2.55658301303586
ALB,2009,3.20819058215042
ALB,2010,2.25927886376634
ALB,2011,2.20993825651288
ALB,2012,2.2341578309036803
ALB,2013,2.19420526485907
ALB,2014,2.45900862471589
ALB,2015,2.45013808032423
DZA,1970,1.11954472374071
DZA,1971,1.35332713110957
DZA,1972,1.26789543059051
DZA,1973,1.23029190957458
DZA,1974,1.3714807077899298
DZA,1975,1.46318173855724
DZA,1976,1.4326942316403002
DZA,1977,1.47585741815265
DZA,1978,1.488431626268
DZA,1979,1.4774770002743405
DZA,1980,1.5798083901957198
DZA,1981,1.5058172680388
DZA,1982,1.77253763807036
DZA,1983,1.822122177255
DZA,1984,1.84379114141027
DZA,1985,1.84714774982988
DZA,1986,2.1843734348134
DZA,1987,2.1834939159015803
DZA,1988,2.11474996041002
DZA,1989,2.18453732564355
DZA,1990,1.98462178920107
DZA,1991,2.06085554919192
DZA,1992,2.06591604569116
DZA,1993,2.06763440110403
DZA,1994,2.07233247750173
DZA,1995,2.11583988076166
DZA,1996,2.01258391035466
DZA,1997,1.78630856299452
DZA,1998,1.81369850383208
DZA,1999,1.82935178758354
DZA,2000,1.86362120575046
DZA,2001,1.8653920197116003
DZA,2002,1.94682545849266
DZA,2003,2.05544593011119
DZA,2004,1.98543090958702
DZA,2005,1.94022595860184
DZA,2006,2.10446502980029
DZA,2007,2.1679198115489
DZA,2008,2.27060107339577
DZA,2009,2.46534721489106
DZA,2010,2.4333203842448703
DZA,2011,2.36891794456292
DZA,2012,2.45640861764572
DZA,2013,2.49498587360211
DZA,2014,2.50328158206241
DZA,2015,2.50732099974188
ARG,1970,3.02565732050143
ARG,1971,2.78982018828908
ARG,1972,2.66612496395829
ARG,1973,2.67383223209172
ARG,1974,2.5657651903501604
ARG,1975,2.62332205050934
ARG,1976,2.77042198352471
ARG,1977,2.65052214959705
ARG,1978,2.9671110788505604
ARG,1979,2.8036710436375203
ARG,1980,2.6274699096776297
ARG,1981,2.9385592585553097
ARG,1982,2.87395083327807
ARG,1983,2.58781188792892
ARG,1984,2.60218740559606
ARG,1985,2.75283066714
ARG,1986,2.7103750089477097
ARG,1987,2.6356725866394104
ARG,1988,2.68032060995818
ARG,1989,2.49180854167106
ARG,1990,2.6386200920024
ARG,1991,2.45881537577664
ARG,1992,2.36423512562789
ARG,1993,2.2863872696964305
ARG,1994,2.31450742753952
ARG,1995,2.37195467372994
ARG,1996,2.3719196575474704
ARG,1997,2.35241528371413
ARG,1998,2.54105327318901
ARG,1999,2.6406966414967403
ARG,2000,2.5337848279459
ARG,2001,2.50826689982057
ARG,2002,2.7097017111685897
ARG,2003,2.7284943178829404
ARG,2004,2.67051736129351
ARG,2005,2.6910622370726403
ARG,2006,2.5047091413105496
ARG,2007,2.51431737889873
ARG,2008,2.3575463448417
ARG,2009,2.30501596171767
ARG,2010,2.34540389108984
ARG,2011,2.27089695327721
ARG,2012,2.19192697763197
ARG,2013,2.345264428196
ARG,2014,2.49013577856418
ARG,2015,2.48037197074873
AUS,1970,1.35665996655397
AUS,1971,1.32057698348855
AUS,1972,1.37133590773123
AUS,1973,1.3887245323746398
AUS,1974,1.40513461565775
AUS,1975,1.43112048612165
