Country,ISO,Description,Source,Year,Value,URL,DownloadDate,Variable,From
Argentina,ARG,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,1238100.13274,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Argentina,ARG,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,700380.38464,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Armenia,ARM,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,46259.10412,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Armenia,ARM,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,81774.71015,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Armenia,ARM,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,275194.51094,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Aruba,ABW,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,1361.84219,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Aruba,ABW,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,7857.77782,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Aruba,ABW,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,2718.13543,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Australia,AUS,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,2563110.26578,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Australia,AUS,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,546339.63441,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Australia,AUS,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,238247.67049,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Austria,AUT,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,349248.9,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Austria,AUT,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,254190.70717,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Austria,AUT,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,77288.92633,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Azerbaijan,AZE,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,934872.32903,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Azerbaijan,AZE,Food waste (Tonnes) Reporting Type G Food Waste Sector OOHC,Food Waste Index Report 2021 / WESR,2019,277799.55882,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Azerbaijan,AZE,Food waste (Tonnes) Reporting Type G Food Waste Sector RTL,Food Waste Index Report 2021 / WESR,2019,157148.32485,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
Bahamas,BHS,Food waste (Tonnes) Reporting Type G Food Waste Sector HHS,Food Waste Index Report 2021 / WESR,2019,28792.13979,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_FOOD_WST&pageSize=1000000000,2021-08-19,ME3.0,SDG API
