ISO,Year,Value,Variable,Description,Source,URL
ETH,2019,49.58,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
FRO,2019,367.02,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
FLK,2019,174.67,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
FJI,2019,152.37,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
FIN,2019,75.23,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
FRA,2019,67.73,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GUF,2019,22.69,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PYF,2019,162.6,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GAB,2019,81.43,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GMB,2019,49.91,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GEO,2019,126.35,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
DEU,2019,77.3,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GHA,2019,36.93,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GIB,2019,61.54,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GRC,2019,46.84,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GRL,2019,16.88,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GRD,2019,116.27,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GLP,2019,140.41,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GUM,2019,54.99,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GTM,2019,96.71,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GGY,2019,77.59,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GIN,2019,49.24,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GNB,2019,45.81,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
GUY,2019,28.77,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
HTI,2019,72.59,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
VAT,2019,41.82,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
HND,2019,104.09,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
HKG,2019,38.47,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
HUN,2019,47.97,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ISL,2019,162.98,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
IND,2019,26.31,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
IDN,2019,121.43,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
IRN,2019,18.3,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
IRQ,2019,28.0,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
IRL,2019,167.22,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
IMN,2019,118.41,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ISR,2019,14.69,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ITA,2019,58.23,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
JAM,2019,51.87,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
JPN,2019,72.63,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
JEY,2019,79.73,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
JOR,2019,15.3,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KAZ,2019,44.98,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KEN,2019,40.63,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KIR,2019,247.77,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PRK,2019,115.9,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KOR,2019,101.77,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
XKX,2019,,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KWT,2019,12.66,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KGZ,2019,76.49,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LAO,2019,72.65,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LVA,2019,77.14,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LBN,2019,57.93,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LSO,2019,89.37,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LBR,2019,50.27,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LBY,2019,13.86,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LIE,2019,129.85,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LTU,2019,66.39,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LUX,2019,98.55,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MAC,2019,38.54,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MKD,2019,83.13,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MDG,2019,69.68,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MWI,2019,38.88,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MYS,2019,116.82,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MDV,2019,194.35,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MLI,2019,16.56,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
