ISO,Value,Year,Variable,Description,Source,URL,From
FRA,109.424,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GAB,0.07,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
DEU,308.50600000000003,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GHA,15.666,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GRC,25.433,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
GIN,1.9,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
HUN,37.376,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ISL,1.6,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
IND,832.698,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
IDN,519.196,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
IRN,46.808,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
IRL,8.325,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ISR,7.989999999999999,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
ITA,76.37599999999999,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
JPN,265.347,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
JOR,25.871000000000002,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
KAZ,7.196000000000001,2019,GJ2,Employment in renewable energy ,IRENA,https://www.irena.org/-/media/files/IRENA/Agency/Publication/2020/Sep/IRENA_RE_Jobs_2020.pdf,MANUAL
