"Country","Flow Type","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","2.45617192193623","2.80736344093151","2.06375350565962","1.87190359712395","1.60332996911714","1.58615060394615","1.44707959706666","1.26694858582033","0.96821358421909","0.861058344127296","0.620002816981475","0.901360278717812","0.976834533907564","1.03423718846202","1.06833838088328","1.14553726507942","1.05833171687226","1.17650117414543","1.03104012738486","1.26783403757471","1.38557138926838","1.3316582287853","1.36927802495277","1.2982565338548","1.29000317634909","1.28040141469609","",""
"Africa","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","3.18657444752992","3.74858750038482","3.02664363001675","3.06740409056559","2.93792556891599","2.87379378091636","2.89212500868842","2.88291206910995","2.86779034917854","2.76143172744773","2.62031248148707","2.6227404232174","2.60786548975372","2.67135084429468","2.71639201060657","2.84169694329671","2.86422940859784","2.8836339054241","3.04339947198946","3.02813522874408","3.13879479231106","3.15281890560821","3.07286110198928","3.10086662031279","3.11948263681941","3.11817217092108","",""
"Albania","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","5.94181358075218","7.31273374736447","3.81627361860241","3.47939602893508","3.45409538328885","3.50068480429726","4.2796933992317","4.0326480668695","4.36002833480185","4.73478519518269","5.55428898145879","6.10222502979265","6.13319182917552","7.47926472027192","8.33053218066615","9.18782300273963","9.15486844015929","8.92575482862143","9.39138875468072","10.8939293201169","8.96104046924015","9.41512364822021","9.61518912113063","9.79542472620601","10.5792936647569","10.8586664245503","",""
"Algeria","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","1.8839583682909","1.97562445401921","1.87758740772618","1.83117649597133","1.76269119101728","1.85019464231965","1.90880152036736","1.66349320023339","2.1516581797469","2.02919622027181","1.89016788857805","1.97224418745996","1.9984692901652","2.11708122695662","2.22602779485468","2.16384704565096","2.17482537726381","2.24417275935468","2.35400962665342","2.8174469426546","2.72351798092577","2.80998815484826","2.94085069731436","3.09042546463527","3.01491179995528","3.0408733118225","",""
"Angola","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","2.02966407767165","2.84262841921927","2.76504415446708","2.34231805797864","2.3795774560475","1.9403829707822","1.85876004380843","2.01357671294929","2.24404706608748","2.00712293665867","2.26110422469814","2.66713605548002","2.66523291314746","2.88565299664887","2.97913272238443","3.22390442619643","3.03243653805818","3.62552143314706","3.93429248526289","4.66531971111451","4.04719543689868","4.00277664652778","3.53108046538003","4.29906391116897","3.75579114068776","3.74907459339539","",""
"Antigua and Barbuda","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","19.5670968888315","107.938667243479","25.6977110067156","25.1564724744477","25.5319038317055","24.2233185562335","23.9897330770873","23.900970483996","21.4277875104439","21.270116121566","22.7133950649083","20.4626842425163","21.7631800574785","21.3422142292099","21.4661188477447","24.390253739478","29.7454119592174","26.6543763403912","19.9454141769186","13.936201622248","13.6430823197643","14.5737975315364","13.4724337311523","13.6051197421792","13.6665599559956","13.6295584743732","",""
"Argentina","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","9.57756196657841","11.3473560820777","11.8578806470297","11.9171052946342","12.6886788439902","12.2427397679279","12.2759111085212","13.1906979872308","14.3391085233651","14.026781067284","13.2738720602304","12.5256678169176","8.4968675839336","9.28870573141501","9.96087353956792","11.0615363082302","10.9823240117547","12.1269909011288","12.0610630614835","11.3710375794135","12.6094785965317","13.2437616574917","12.7871772341679","13.8997100119459","14.1011899341336","14.289426512875","",""
"Armenia","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","","","3.37543894080789","2.65027654018654","2.2904922668873","2.79548252606981","3.05722101514925","2.71150586489515","3.18507901487909","3.03504551008139","2.42976826486022","2.75488285105143","2.92487814418841","3.3547905757438","3.9593007823576","4.41397046751204","4.79709639156594","5.76760970202974","6.53963779848869","6.48102820261434","6.24810173524783","6.30433728753255","6.63017023918365","6.962394525485","7.15903270424602","7.37286825250388","",""
"Asia + Pacific","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","4.96676124909213","5.43163629098863","5.67527213420848","5.8677433405095","6.03990479733135","6.25696822940193","6.4681683045735","6.40282121915775","6.19923663578063","6.32072538652235","6.30577145611763","6.54280853830758","6.56483762868242","7.04505797051033","7.31680837895632","7.53963513552027","7.93235574326707","8.38921921565442","8.70175725869326","9.40362898334497","10.0491186194854","10.6934907615271","10.9244015891027","11.1958755752014","11.2621361278796","11.4617181632654","",""
"Australia","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","40.2774624991278","40.7919268227336","36.9808808529542","35.3951094200681","34.9391491758909","38.2807561144224","39.2187829246537","39.9406232527453","41.9864424807614","41.6734684033415","39.7569226468004","40.010376679795","40.1703871272397","42.9261897046681","42.3290564772666","42.9988445460115","38.7047110223181","45.6159146840031","37.7077434583658","43.1351234159322","40.7835170031958","40.9377034917933","41.4868116819702","41.1645534371574","42.1378640815333","42.4854122869595","",""
