Country,ISO,Description,Source,Year,Value,URL,DownloadDate,Variable,From
Algeria,DZA,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2018,9.31115,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Angola,AGO,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2015,21.04727,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Argentina,ARG,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2015,5.75125,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Argentina,ARG,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2016,8.64125,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Argentina,ARG,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2017,11.21257,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Argentina,ARG,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2018,12.88433,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Armenia,ARM,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2015,3.71728,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Armenia,ARM,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2016,4.2871,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Armenia,ARM,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2017,4.42454,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
Armenia,ARM,Prevalence of severe food insecurity in the adult population (%) Age ALLAGE Sex BOTHSEX Reporting Type G,"Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.",2018,4.10082,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?dimensions=%5B%7Bname%3A%27Age%27%2Cvalues%3A%5B%27ALLAGE%27%5D%7D%5D&seriesCode=AG_PRD_FIESS&pageSize=1000000000,2021-08-19,AB2,SDG API
