ISO,Year,Value,Variable,Description,Source,URL,From
CHL,2018,0.3872380320155594,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CHN,2018,0.28219089493577876,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CIV,2018,0.21767276126872498,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CMR,2018,0.15102786673042812,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
COD,2018,0.1827016644145881,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
COG,2018,0.170360131198445,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
COL,2018,0.2618185222082836,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
COM,2018,0.11706996439523348,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CPV,2018,0.2578996418141597,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CRI,2018,0.3068790297578073,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CUB,2018,0.23821360057121185,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CUW,2018,0.16060000000000002,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CYM,2018,1.013993104846887,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CYP,2018,0.6419999791418977,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
CZE,2018,0.5,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
DEU,2018,0.6090000096231571,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
DJI,2018,0.15410615488438958,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
DMA,2018,0.1819889502762431,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
DNK,2018,0.8439999601275437,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
DOM,2018,0.3859952429591826,EQ3,Municipal solid waste (MSW) generation per capita tons per capita,World Bank What a Waste database,https://datacatalog.worldbank.org/dataset/what-waste-global-database,MANUAL
