ISO,Country,Year,pop,loss,waste,loss_capita,waste_capita
HND,Honduras,2018,9587523.0,305947,1202395.8111500002,0.03191095343395786,0.1254125607990719
HUN,Hungary,2018,9775564.0,599599,1280384.5746,0.061336512143954046,0.13097807702962203
ISL,Iceland,2018,352721.0,1977,38838.2831,0.005604996583702133,0.1101104927123704
IND,India,2018,1352642283.0,63491653,127910071.36297,0.046938982906244105,0.09456311766277234
IDN,Indonesia,2018,267670549.0,23047316,32653174.74273,0.08610329409082655,0.12199016613788916
IRN,Iran,2018,81800204.0,6323561,9474044.15372,0.0773049539094059,0.11581932184081106
IRQ,Iraq,2018,38433604.0,1051287,6436088.91446,0.027353328613158423,0.16745993725855113
IRL,Ireland,2018,4867316.0,135652,603758.9004299999,0.027869980087588314,0.12404349757237869
ISR,Israel,2018,8882800.0,245376,1520144.2249099999,0.02762372224974107,0.171133451716801
ITA,Italy,2018,60421760.0,1690407,5827649.33118,0.027976791804806746,0.09644951307575284
JAM,Jamaica,2018,2934853.0,232820,341178.64959000004,0.07932935652995227,0.11625067749219468
JPN,Japan,2018,126529100.0,2703488,11125934.24371,0.021366531493545754,0.08793182156286578
JOR,Jordan,2018,9965322.0,386300,1377182.12554,0.038764427280924794,0.13819745368388497
KAZ,Kazakhstan,2018,18276452.0,1714584,2207642.9857900003,0.09381383213765998,0.12079166053619161
KEN,Kenya,2018,51392570.0,2014933,7430796.993439999,0.03920669855584183,0.1445889355881599
KIR,Kiribati,2018,115842.0,15303,15794.207170000001,0.1321023462992697,0.13634266647675283
KWT,Kuwait,2018,4137314.0,111385,559181.4385,0.02692205619394612,0.13515566826689973
KGZ,Kyrgyz Republic,2018,6322800.0,208747,861684.13066,0.03301496172581767,0.1362820476149807
LAO,Laos,2018,7061498.0,691653,929349.51938,0.09794706448971592,0.13160798450697003
LVA,Latvia,2018,1927174.0,68093,218445.29322,0.03533308357211129,0.11335006243338691
LBN,Lebanon,2018,6859408.0,234649,1014262.85925,0.0342083456764782,0.14786448907106853
LSO,Lesotho,2018,2108327.0,32848,303662.01356,0.015580125853342484,0.1440298462050716
LBR,Liberia,2018,4818976.0,169982,720774.66421,0.03527346888633602,0.1495700879626709
LTU,Lithuania,2018,2801543.0,270716,316159.66391,0.09663103511172236,0.11285197618241091
LUX,Luxembourg,2018,607950.0,10932,72252.39499999999,0.017981741919565752,0.11884594950242616
MDG,Madagascar,2018,26262313.0,1125473,3937049.48996,0.042855060024606366,0.1499125187473015
MWI,Malawi,2018,18143215.0,2055064,2719466.72082,0.11326900993015847,0.14988891003165647
MYS,Malaysia,2018,31528033.0,746708,8301313.2257,0.02368393867134052,0.26329943341850726
MDV,Maldives,2018,515704.0,1115,60673.99369,0.0021620929835719717,0.11765274981384671
MLI,Mali,2018,19077755.0,1307180,2869726.64748,0.06851854424170978,0.150422659661999
MLT,Malta,2018,484630.0,15080,73714.91277,0.03111652188267338,0.15210555015166208
MRT,Mauritania,2018,4403312.0,107707,646630.20505,0.024460451587350614,0.1468508715825724
MUS,Mauritius,2018,1265303.0,179268,167359.28509,0.14167989801652253,0.1322681484909148
MEX,Mexico,2018,126190782.0,10971227,17501891.19368,0.08694158817400782,0.1386938959905962
MNG,Mongolia,2018,3170214.0,40369,389786.84494,0.012733840680786849,0.12295284953634045
MNE,Montenegro,2018,622227.0,31877,79173.26406999999,0.051230499480093276,0.12724176879177534
MAR,Morocco,2018,36029089.0,2347409,4898326.232729999,0.06515315999247163,0.13595476235133228
MOZ,Mozambique,2018,29496009.0,1079696,4432908.70776,0.03660481660417177,0.1502884240291627
MMR,Myanmar,2018,53708318.0,3147890,7005658.20699,0.05861084683381818,0.1304389798055117
NAM,Namibia,2018,2448300.0,115057,337326.41974,0.04699464934852755,0.1377798553036801
NPL,Nepal,2018,28095712.0,2289472,3487834.57576,0.08148830682774652,0.12414117057293297
NLD,Netherlands,2018,17231624.0,970434,1480103.09366,0.05631703662986147,0.08589457927238896
NCL,New Caledonia,2018,270650.0,6481,33107.9787,0.023946055791612783,0.122327650840569
NZL,New Zealand,2018,4900600.0,488209,428998.23835999996,0.09962229114802269,0.08753994171325959
NIC,Nicaragua,2018,6465502.0,712981,807531.40045,0.11027465462078583,0.12489848436362713
NER,Niger,2018,22442831.0,1891870,3402957.4199599996,0.08429729743097027,0.1516278146887975
NGA,Nigeria,2018,195874685.0,17476419,46640843.728989996,0.0892224485262095,0.23811573062128982
MKD,Macedonia,2018,2082957.0,211192,262671.17146,0.10139047517543569,0.12610494189750435
NOR,Norway,2018,5311916.0,107373,524630.5077900001,0.02021361030558465,0.09876483509716646
OMN,Oman,2018,4829476.0,138842,661245.90729,0.028748874619109816,0.1369187686800804
PAK,Pakistan,2018,212228288.0,10024706,25322389.042880002,0.04723548446095932,0.11931674745866112
PAN,Panama,2018,4176868.0,119078,476881.32381,0.028508921038443158,0.11417198815236679
PNG,Papua New Guinea,2018,8606324.0,597003,1178669.57076,0.06936794385152127,0.1369538923656604
PRY,Paraguay,2018,6956069.0,1655412,815204.39402,0.23798096309855465,0.11719325872414434
PER,Peru,2018,31989265.0,4751959,3762130.20636,0.1485485521471031,0.11760602209397435
PHL,Philippines,2018,106651394.0,3714967,14014660.75008,0.034832803029278735,0.13140625944448509
POL,Poland,2018,37974750.0,2670802,3573654.1117499997,0.0703309962540899,0.09410606025714455
PRT,Portugal,2018,10283822.0,537427,1254285.43686,0.05225946151148863,0.12196685598603321
KOR,South Korea,2018,51606633.0,2654582,5623879.38829,0.0514387753217692,0.10897590215370183
MDA,Moldova,2018,2708214.0,310224,482446.14706999995,0.11454929337194181,0.17814181119734257
ROU,Romania,2018,19473970.0,731006,2096225.6938200002,0.03753759505637525,0.10764244238950764
RUS,Russia,2018,144477859.0,4613512,10902714.49361,0.03193231151079004,0.07546287416682995
RWA,Rwanda,2018,12301969.0,644058,2622006.69152,0.05235405811866377,0.2131371564600756
KNA,St. Kitts and Nevis,2018,52438.0,594,5929.57185,0.011327663145047484,0.11307776517029636
LCA,St. Lucia,2018,181890.0,11399,21153.70117,0.06266974545054703,0.11629941816482489
VCT,St. Vincent and the Grenadines,2018,110210.0,9517,12798.68353,0.08635332546955812,0.11612996579257781
WSM,Samoa,2018,196128.0,17439,23455.18034,0.08891642192853647,0.11959118708190569
STP,Sao Tome and Principe,2018,211032.0,14625,30733.40193,0.06930228590924599,0.14563384666780393
SAU,Saudi Arabia,2018,33702757.0,914167,5143841.8762,0.027124398161254285,0.15262377128969004
SEN,Senegal,2018,15854324.0,460153,2328423.111,0.02902381709872966,0.14686360080694705
SRB,Serbia,2018,6982604.0,566009,916028.2300399999,0.08105987393814686,0.13118719463970746
SYC,Seychelles,2018,96762.0,1316,12877.846849999998,0.013600380314586305,0.13308785318616811
SLE,Sierra Leone,2018,7650149.0,486689,1140591.52722,0.06361823802386071,0.14909402773985186
SVK,Slovakia,2018,5446771.0,266128,590722.43224,0.048859773983521614,0.10845369343414658
SVN,Slovenia,2018,2073894.0,258136,126757.57825,0.12446923516823907,0.061120567516951205
SLB,Solomon Islands,2018,652856.0,46214,89957.14253,0.07078743245064761,0.1377901750615756
ZAF,South Africa,2018,57792520.0,2789230,4864117.57991,0.048262820171191705,0.08416517535331562
ESP,Spain,2018,46797754.0,3518855,5407793.24689,0.07519281801430043,0.11555668348720326
LKA,Sri Lanka,2018,21670000.0,1043323,2540804.47843,0.048145962159667745,0.11724986056437471
SDN,Sudan,2018,41801532.0,2611037,6015706.4459999995,0.06246271069682326,0.1439111477062611
SUR,Suriname,2018,575987.0,47651,67279.87887,0.08272929770984415,0.11680798155166697
SWE,Sweden,2018,10175214.0,290026,1119058.6,0.02850318430649223,0.10997887611995188
CHE,Switzerland,2018,8514329.0,206589,1069512.88312,0.024263685370861286,0.1256132906210225
TJK,Tajikistan,2018,9100847.0,409588,1309698.8728500002,0.04500548135794394,0.1439095584015422
THA,Thailand,2018,69428454.0,6238043,8492505.94791,0.08984850793307309,0.12232025140456101
TLS,Timor-Leste,2018,1267975.0,19464,167618.64336,0.015350460379739347,0.13219396546461878
TGO,Togo,2018,7889095.0,358061,1179890.05269,0.045386828273712,0.1495596202973852
TTO,Trinidad and Tobago,2018,1389841.0,16987,156661.9835,0.012222261395368247,0.1127193567465631
TUN,Tunisia,2018,11565203.0,873628,1570650.6340200002,0.07553935715611736,0.13580830652259196
TUR,Turkey,2018,82340090.0,12647519,11374100.78109,0.15360098586241525,0.13813563697938636
TKM,Turkmenistan,2018,5850902.0,263465,707118.35149,0.04502980907901038,0.12085629728373506
UGA,Uganda,2018,42729032.0,853914,6462592.87787,0.019984398429620406,0.15124594626599544
UKR,Ukraine,2018,44622518.0,5103006,5249311.90262,0.11435943619317941,0.11763818219805525
ARE,United Arab Emirates,2018,9630966.0,538325,1298633.79642,0.055895223802056825,0.13483941241408184
GBR,United Kingdom,2018,66460344.0,1485686,6597700.54,0.022354473518825,0.09927274135084224
TZA,Tanzania,2018,56313444.0,3768448,9418609.02263,0.06691915344406923,0.16725329430446487
USA,United States,2018,326838199.0,30787627,45446091.59478,0.09419837428488584,0.13904767476331614
URY,Uruguay,2018,3449290.0,367253,388757.5543,0.1064720565681633,0.1127065437524824
UZB,Uzbekistan,2018,32956100.0,1135000,4429590.157609999,0.034439754703985,0.1344088092222684
VUT,Vanuatu,2018,292675.0,33663,40277.91437,0.11501836508072094,0.1376199346373964
VEN,Venezuela,2018,28887117.0,1161376,3299861.66126,0.040203942816446514,0.11423298701839993
VNM,Vietnam,2018,95545959.0,7514213,11522397.43492,0.07864501103599787,0.1205953402479324
YEM,Yemen,2018,28498683.0,308491,4289315.52768,0.010824745831237183,0.15050925432870005
ZMB,Zambia,2018,17351714.0,525880,2164901.50276,0.03030709242902459,0.12476585902464736
ZWE,Zimbabwe,2018,14438812.0,446873,2092543.1796199998,0.030949429911546738,0.14492488576068446
