ISO,Value_method_1,Value_method_2
TTO,57.31610150596097,76.26817576773965
TUN,63.89191606900943,78.35352941660344
TUR,66.73950278012495,79.19354082698351
TKM,64.67538025425998,79.97407556802031
UGA,46.5774260606834,71.36840317656925
UKR,72.28006419864046,84.35071376229334
ARE,44.143277682302475,63.82878781618975
GBR,76.4620038130117,87.1841813810251
TZA,39.60512492192725,65.46302959067623
USA,68.80430987973094,82.66251933713826
URY,68.26192113663086,82.1387329302396
UZB,72.17294431783179,84.46484064515536
VUT,55.281167599577245,73.21492073927863
VEN,48.76789488321345,71.24380070386115
VNM,62.04338723386843,78.03418926244916
YEM,11.065377046034714,52.662035474212104
ZMB,36.45360152409995,65.83927581304101
ZWE,13.571690957211578,53.815243133191245
