ISO,Year,Value,Description,Country,Source,URL,DownloadDate,Variable,From
ARB,1999,7.50680431713898,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1998,4.71149035704106,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1997,5.13235322781134,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1996,3.94581241788989,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1995,3.99094823369525,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1994,2.72400570841792,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1993,2.78763865552094,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1992,3.91046769012032,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
ARB,1991,-8.71018019424231,"Adjusted net savings, including particulate emission damage (% of GNI)",Arab World,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
CSS,2000,11.4219682886916,"Adjusted net savings, including particulate emission damage (% of GNI)",Caribbean small states,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,https://api.worldbank.org/v2/country/all/indicator/?indicator=NY.ADJ.SVNG.GN.ZS,2021-07-16,GV1,WB API
