ISO,Year,Description,Source,URL,DownloadDate,Indicator,From,Imputed,Value,Corrected,Country
AFG,2008,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,4370000.0,False,Afghanistan
AFG,2009,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,5980000.0,False,Afghanistan
AFG,2010,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,8640000.0,False,Afghanistan
AFG,2011,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,8560000.0,True,Afghanistan
AFG,2012,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,10420000.0,False,Afghanistan
AFG,2013,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,8480000.0,False,Afghanistan
AFG,2014,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,7770000.0,False,Afghanistan
AFG,2015,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,7940000.0,False,Afghanistan
AFG,2016,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,7319999.999999999,False,Afghanistan
AFG,2017,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,7310000.0,False,Afghanistan
AFG,2018,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,7370000.0,False,Afghanistan
AFG,2019,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,,GE1.0,CW API,True,7370000.0,False,Afghanistan
AFG,2020,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,,GE1.0,CW API,True,7370000.0,False,Afghanistan
ALB,1990,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,2170000.0,True,Albania
ALB,1991,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,2170000.0,True,Albania
ALB,1992,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,2220000.0,False,Albania
ALB,1993,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,2060000.0,False,Albania
ALB,1994,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,2120000.0,False,Albania
ALB,1995,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1940000.0,False,Albania
ALB,1996,C02 Total excluding LUCF and Agriculture Tons,CAIT _and_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-09,GE1.0,CW API,False,1960000.0,False,Albania
