ISO,Year,Value,Description,Source,URL,DownloadDate,Variable,From
AFG,2009,5980000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2010,8640000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2011,12230000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2012,10420000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2013,8480000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2014,7770000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2015,7940000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2016,7319999.999999999,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2017,7310000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
AFG,2018,7370000.0,C02 Total excluding LUCF and Agriculture Tons,CAIT _AND_ PIK,https://www.climatewatchdata.org/api/v1/data/historical_emissions?gas_ids%5B%5D=326&sector_ids%5B%5D=1298&sector_ids%5B%5D=1316&source_ids%5B%5D=111&source_ids%5B%5D=112,2021-08-10,GE1.0,CW API
